DOMINIO,UBIGEO,CONGLOME,VIVIENDA,HOGAR,TuvoTrabajo,Educacion,Sexo,Edad,TrabajaPerú,FACTOR07,Situación de Vulnerabilidad
Costa Norte,060109,016037,069,11,1,Primaria Completa,Hombre,63,0,104.173187255859,Vulnerable No Pobre
Costa Norte,060109,016037,069,11,1,Primaria Completa,Mujer,69,0,104.173187255859,Vulnerable No Pobre
Costa Norte,060109,016037,071,11,1,Secundaria Incompleta,Hombre,51,0,104.173187255859,Vulnerable No Pobre
Costa Norte,060109,016037,075,11,1,Superior No Universitaria Completa,Mujer,31,0,104.173187255859,Pobre No Extremo
Costa Norte,060109,016037,075,11,0,Superior No Universitaria Completa,Hombre,36,0,104.173187255859,Pobre No Extremo
Costa Norte,060109,016037,153,11,1,Primaria Completa,Hombre,47,0,104.173187255859,Pobre No Extremo
Costa Norte,060109,016037,153,11,1,Primaria Completa,Mujer,36,0,104.173187255859,Pobre No Extremo
Costa Norte,060109,016037,154,11,1,Sin Nivel,Mujer,83,0,104.173187255859,Pobre No Extremo
Costa Norte,060109,016037,155,11,1,Sin Nivel,Hombre,71,0,104.173187255859,Vulnerable No Pobre
Costa Norte,060109,016037,155,11,1,Primaria Incompleta,Mujer,62,0,104.173187255859,Vulnerable No Pobre
Costa Norte,060109,016037,155,11,1,Secundaria Completa,Hombre,26,0,104.173187255859,Vulnerable No Pobre
Costa Norte,060109,016037,156,11,0,Primaria Completa,Mujer,70,0,104.173187255859,Pobre No Extremo
Costa Norte,060109,016037,156,11,0,Primaria Completa,Hombre,48,0,104.173187255859,Pobre No Extremo
Costa Norte,060109,016037,157,11,1,Superior No Universitaria Incompleta,Mujer,36,0,104.173187255859,Vulnerable No Pobre
Costa Norte,060109,016038,020,11,1,Sin Nivel,Hombre,70,0,90.5339584350586,Pobre Extremo
Costa Norte,060109,016038,020,11,1,Sin Nivel,Mujer,66,0,90.5339584350586,Pobre Extremo
Costa Norte,060109,016038,021,11,1,Primaria Incompleta,Mujer,62,0,90.5339584350586,Pobre Extremo
Costa Norte,060109,016038,022,11,1,Sin Nivel,Hombre,69,0,90.5339584350586,Pobre Extremo
Costa Norte,060109,016038,022,11,1,Sin Nivel,Mujer,69,0,90.5339584350586,Pobre Extremo
Costa Norte,060109,016038,023,11,1,Sin Nivel,Hombre,32,0,90.5339584350586,Pobre Extremo
Costa Norte,060109,016038,023,11,1,Primaria Incompleta,Mujer,37,0,90.5339584350586,Pobre Extremo
Costa Norte,060109,016038,024,11,1,Secundaria Completa,Hombre,30,0,90.5339584350586,Pobre Extremo
Costa Norte,060109,016038,024,11,1,Primaria Completa,Mujer,32,0,90.5339584350586,Pobre Extremo
Costa Norte,060109,016038,041,11,1,Primaria Incompleta,Mujer,60,0,90.5339584350586,Pobre No Extremo
Costa Norte,060109,016038,042,11,1,Primaria Completa,Hombre,42,0,90.5339584350586,Pobre No Extremo
Costa Norte,060109,016038,042,11,1,Sin Nivel,Mujer,42,0,90.5339584350586,Pobre No Extremo
Costa Norte,060109,016038,043,11,1,Sin Nivel,Mujer,77,0,90.5339584350586,Pobre Extremo
Costa Norte,060407,016039,073,11,1,Primaria Completa,Hombre,63,0,104.173187255859,Vulnerable No Pobre
